id,label,text
211513384271745024,2012-euro2012.ids,Oh... Wow. #stunned #euro2012
552993054131359744,2015-charliehebdo.ids,“@laloalcaraz: I just drew this on a plane to Houston  please share for #CharlieHebdo http
665516202546954240,2015-parisattacks.ids,Paris attacks: It could have been us  says Nazri: PETALING JAYA: Datuk Seri Nazri Aziz and his delegati... http #JDT01
522035059092496384,2014-hongkong-protests.ids,@VivienneChow: Breaking: tension escalates in Admiralty photo via @Vicky_Feng_ #OccupyCentral #UmbrellaMovement #HK http
552843984272633856,2015-charliehebdo.ids,@voz_populi: .@eljueves acaba de tuitear esta imagen en solidaridad con #CharlieHebdo http
488751270619258880,2014-gazaunderattack.ids,@thenaiiabuhasna: The doctors of Al-Shifa Hospital in #Gaza sleep  pray  and work 24/7  these are my heroes #GazaUnderAttack http
265806405632663553,2012-obama-romney.ids,Chair Entertainment Group  LLC - VOTE!!! - http #iTunes #Free #Gratis #Obama
554891204098551808,2015-charliehebdo.ids,"@borzou: Seems world leaders didn't \"lead\" #CharlieHebdo marchers in Paris but conducted photo op on empty  guarded street http"
501562858250174464,2014-ferguson.ids,@alexwroblewski Sick. Hope you are masked up. #ferguson
263268971950780418,2012-hurricane-sandy.ids,Unfortunately  #PwP has to reschedule bell ringing  @NASDAQ remains closed due to #Sandy. Check here for new date/time.
553421360697843712,2015-charliehebdo.ids,Terrorism has no religion  #JeSuisCharlie  #JeSuisAhmed
501786452326637568,2014-ferguson.ids,@PrisonPlanet: MSNBC Host: Maybe Cops Need Military Gear to Deal With “Anti-Government” Groups - http #Ferguson
501548644274044929,2014-ferguson.ids,@GregoryMichie: Taught about Trayvon Martin 2 yrs ago  Jordan Davis last yr. This yr will teach abt #MichaelBrown &amp; #Ferguson. As tchrs …
219515843413946368,2012-euro2012.ids,Jordi Alba also just signed with Barcelona....for only 14 mill #Euro2012 #Sortof
512734597654659073,2014-indyref.ids,Scotland future is decided now...omg so nervous for tomorrow hoping for the best ♥#goindependant #indyref #YesYesYes
725551886028431360,2016-panamapapers.ids,@Greenpeace: #PanamaPapers prove US has the money to transition to 100% clean energy http http
598066481419587584,2015-nepalearthquake.ids,@tanyasonyinsan1: Another powerful earthquake struck  Nepal again some ppl died in chautara  building destroyed.#MSGPlsSaveTheEarth http
581087277532770305,2015-germanwings-crash.ids,"@BBCBreaking: #Germanwings \"shaken\" by \"upsetting\" finding that co-pilot Andreas Lubitz caused crash http http"
592036507810070529,2015-nepalearthquake.ids,या इलाही रहम कर  तू ही तो है रब्बुल रहीम कब तेरी दुनिया को  तेरे जलजलों की ताब है...!!! #NepalEarthquake #shair #LucknowEarthquake #India
552935703961956353,2015-charliehebdo.ids,Dün Noel Baba  gibi hayali kahramanı katleden Müslümanlar bugün torbasından gülücükler saçan #CharlieHebdo yi katletti
501593921135587328,2014-ferguson.ids,#ferguson are they gonna kill those young boys protesting. They're not backing down! gunshot wound my ass! Thats code for shoot to kill
265837961030021120,2012-uselection.ids,Everyone! It's of most importance to Vote Today! Make it count. #Election2012 who's in?!
266276658712035328,2012-obama-romney.ids,3 Martini Lunch w/ @NRO... @DanFosterNRO and I dissect Obama's win  the GOP Senate debacle &amp; key House races. http #tcot
705653817279287296,2016-brexit.ids,#DavidCameron is taking British people for fools. #ProjectFear #Brexit http Orchestrated scaremongering is shameful
487997803453771777,2014-gazaunderattack.ids,@intifada the bravery at the heart of these people is truly humbling. #Gaza #GazaUnderAttack #Solidarity
553559010335797249,2015-charliehebdo.ids,@Ligne1_RATP: 13:40  Les stations Porte de Vincennes et Saint Mandé sont fermés au public (mesure de sécurité) #RATP #Ligne1
716782114734260224,2016-panamapapers.ids,"@EmpresarialARG: \"El país es como una empresa\" Franco Macri  http #ElAjuste #panamapapers  #PapelesDePanama   http"
262704097885581313,2012-hurricane-sandy.ids,マンハッタンに台風って珍しいな。RT @maedamari 在ニューヨーク日本国総領事館 が緊急対策本部を設置。電話番号：212-230-9300（直通）、212-371-8222  #NYC #Sandy
592788895949037568,2015-nepalearthquake.ids,@CBCAlerts: Government of Canada to match #NepalEarthquake charitable donations pledged by Cdns on dollar-for-dollar basis. #NepalEarthq…
324033414627999744,2013-boston-marathon-bombing.ids,@cnnbrk: At least 132 injuries reported in #Boston terror attack  at least 17 are critical; 8 are children http
263219667110359040,2012-hurricane-sandy.ids,Glued to CNN watching the coverage of Hurricane Sandy #HurricaneSandy
552831885475577856,2015-charliehebdo.ids,@Le_Figaro: EN DIRECT - #CharlieHebdo Les dessinateurs Cabu  Charb  Tignous et Wolinski sont morts &gt;&gt; http
213718832429273088,2012-euro2012.ids,"@brucecat: England fans chanting at Ibrahimovic: \"You're just a shit Andy Carroll!\" LMAO #Euro2012"
266068916546174976,2012-obama-romney.ids,@Peaches4Pres14: RT @mcafee2012: On stage now  President Barack Obama. #4moreyears
592259366318899200,2015-nepalearthquake.ids,@AmeriCares: India #disaster response team mobilized-medical shipments planned in deadly #Nepal #earthquake http http
524999922039660544,2014-ottawashooting.ids,@Alberta411: #yyc Sgt.-of-Arms hero in Ottawa a former Calgary mountie; first time he's fired i... http
179986364165668866,2012-sxsw.ids,Ruthie Foster - Blue Corn Music #sxsw  @ Red Eyed Fly http
666280178448998400,2015-parisattacks.ids,@LBC: LISTEN: Did British foreign policy help plant the seeds for the #ParisAttacks? http http
512911229250445312,2014-indyref.ids,@bbc5live: Unsure about the #BarnettFormula? Here's @JPonpolitics with a quick explainer  http #indyref
665336764697960449,2015-parisattacks.ids,@lajornadaonline: Integra Hollande (@fhollande) célula de crisis por #ataques en París -&gt; http http
666224898541527043,2015-parisattacks.ids,【6名嫌犯身份確認，各國激辯難民政策】#巴黎恐襲 事件中6名襲擊者的身份已確認，包括長年生活在比利時的法籍三兄弟、一名阿爾及利亞裔法國人、一名法籍國際通緝犯和一名敘利亞人。法籍三兄弟中的一人仍在逃。http #Paris
665590227327696896,2015-parisattacks.ids,#Wrocław solidarny z Francją:  http #PrayForParis #ParisAttacks http
714843430208319489,2016-hijacked-plane-cyprus.ids,@LaBoiteVerte: Pendant le détournement de l'avion #EgyptAir un gars a demandé au preneur d'otage de faire un selfie avec lui #WTF http
211155809508397057,2012-euro2012.ids,Next  Russia vs. Czech Republic #Euro2012
594711983426908160,2015-nepalearthquake.ids,@SPoonia777: Really appericiable. Hats off to @Gurmeetramrahim ji to came forward for #NepalEarthquake #MSGHelpEarthquakeVictims http
593240380251844608,2015-nepalearthquake.ids,"\"@AWAKEALERT: More Than 200 000 #Buffaloes Slaughtered in #Nepal Hindu Sacrifice Ritual #Gadhimai Festival. http"
219387972410290177,2012-euro2012.ids,@adidasUK: Follow @adidasUK &amp; RT to win a pair of Predator LZ boots (10.5)! Winner announced at 5pm! #takethestage #Euro2012 http ...
581159405183475712,2015-germanwings-crash.ids,@DeborahClay: French officials say the co-pilot of the doomed #Germanwings flight appears to have deliberately crashed the plane.
553501340455174144,2015-charliehebdo.ids,@fceg_cat: Compartim les paraules dels escoltes francesos davant dels fets de #CharlieHebdo -&gt; http  #sócdecau
553211387858927616,2015-charliehebdo.ids,@cyberbaloo_: Pr expliquer #jesuischarlie à vos enfants  Bayard met ces numéros à dispo gratuitement #LActu http  #MER…
594581625826082816,2015-nepalearthquake.ids,@UNICEF_uk: We're delivering water kits in Bhaktapur where only 1 in 5 people have access to safe water #Nepal http
265620184314834944,2012-obama-romney.ids,"@Pyramidology: Mitt Romney nervous like a baby daddy on Maury waiting for the test results. Maury \"YOU ARE NOT THE PRESIDENT\" #TeamOb ..."
499883360924471296,2014-ferguson.ids,@nycjim: Incredible image of protester engulfed by tear gas in #Ferguson tonight. via @stltoday. http http
666488379102511104,2015-parisattacks.ids,#ViveLaFrance #HEREWEGOBEACH  The Pyramid at LB State tonite for student killed in Paris and our longest ally http
211154587405656064,2012-euro2012.ids,@nikkanstadium: 【ポーランド１－１ギリシャ】試合終了。両チーム退場者が出ましたが、白熱のゲームでした！このあと３時４５分キックオフ「ロシアvsチェコ」はこちらから→ http  #EURO2012 #EUROjp
263656250359808003,2012-hurricane-sandy.ids,#Sandy may drive subway rats onto NYC streets! #Rats #Rodents #RodentNews http via @CBSNews
715781681186271233,2016-brexit.ids,"Full Show on @YouTube  \"Could Nigel Farage be the saviour of English #football?\"  http  #Brexit #EPL #PremierLeague #UKIP"
263276166088114177,2012-hurricane-sandy.ids,@ThugPickles: People eating people   bus drivers uppercutting   niggas stomping bitches A hurricane in the fall though ? . . #2012End ...
716758047197159428,2016-panamapapers.ids,@Gath___: Εθνική υπερηφάνεια μας πλημμυρίζει βλέποντας τον πρώην σύμβουλο του πρωθυπουργού μας να φιγουράρει στα #panamapapers http
501867830661222400,2014-ferguson.ids,@thenation: Police in #Ferguson are spraying a civilian population with miscarriage-causing chemicals. http http
216965803696861187,2012-euro2012.ids,This time more than any other time  we're gonna find a way  find a way to get away... #comeonengland #Euro2012
215663800228134912,2012-euro2012.ids,@GurusDeportivos: Por los que no han visto TODOS los goles de la 1ra ronda de la #Euro2012 ¡ Aquí los tienen! http Va ...
665327440328175616,2015-parisattacks.ids,@BBCBreaking: Footage shows #Parisattacks scenes - continuing coverage on our live page http  http
486304479491661824,2014-gazaunderattack.ids,Sickening! Israel calls Gazaans to leave? Go where? you have put them under siege.  #GazaUnderAttack
265464062081630208,2012-obama-romney.ids,@rumpfshaker: Shady  shady  shady journalism at CBS: http via @bretbaier #benghazi
704035241384669185,2016-irish-ge16.ids,@thejournal_ie: And we're finished in Cavan-Monaghan too with FG losing out to two Fianna Fáilers #ge16 http http
665563462903455744,2015-parisattacks.ids,@aakuraj: #ParisAttacks  @BDUTT @TimesNow @sardanarohit @sardesairajdeep @sudhirchaudhary @SudarshanNewsTV @RajatSharmaLive http
667052284048732161,2015-parisattacks.ids,@le_pacte: Beaucoup d'émotion à la #Premiere de #JeSuisUnSoldat avec #LouiseBourgoin et #JeanHuguesAnglade hier soir à #Paris http
554422263047815168,2015-charliehebdo.ids,@elpais_america: Al Qaeda recupera el protagonismo del terrorismo global http #CharlieHebdo http
665919135562506244,2015-parisattacks.ids,@WerthMathias: #ParisAttacks Der getötete Deutsche saß in einem der Cafés auf der Terrasse. Auch unter den Verletzten sind mehrere Deuts…
666665503629434880,2015-parisattacks.ids,@BuzzFeed: This father explaining the #ParisAttacks to his son is heartbreaking and beautiful http http
592415404137553922,2015-nepalearthquake.ids,@Oxfam: We'll provide clean water &amp; food to #NepalEarthquake survivors. Situation critical. Pls give now http #NepalQu…
553698873777332224,2015-charliehebdo.ids,@GaryTrs_: Les frères Kouachi ont voulu tués un journal  ils sont morts dans une imprimerie. #CharlieHebdo
445628617804890113,2014-stpatricksday.ids,@CFLfacts: 54% of #Riders fans wore green today because it's St Patrick's Day. The rest wore green because it's all they have in their c…
219533871732109313,2012-mexican-election.ids,@ifemex hoy resivi dos llamada del.PVEM ofresiendome becas #Elecciones2012
501204234360979456,2014-ferguson.ids,@jonswaine: Gas or smoke grenade just landed under someone's car #Ferguson http
552966948263186432,2015-charliehebdo.ids,I condemn #CharlieHebdo attack. It is too much now  World can't be selective any more. Lets unite &amp; #fightagainstterrorism.
553250722561921024,2015-charliehebdo.ids,"@GossipRoomOff: .@TheEllenShow \"Mon cœur est avec la ville de Paris\" #JeSuisCharlie ❤️✨🙏 http"
717044302921097217,2016-panamapapers.ids,"@jrisco: Amé que Aristegui en #PanamaPapers tenga su unidad de medida...   Dice: \"Hinojosa Cantú escondió lo equivalente a 14 Casas Blan…"
265675131454644224,2012-obama-romney.ids,@Foreign_Checks: Mitt Romney Losing in Massachusetts a state that he governed. Why vote for him when his own people don't want him? # ...
263109449621856258,2012-hurricane-sandy.ids,Amazing pictures courtesy of Sandy you won't want to miss and our forecast...join us in about 15 minutes on News Channel 11 at 11. #WJHLwx
499657819398733824,2014-ferguson.ids,@blackvoices: Missouri gun sales up in wake of #Ferguson violence and tensions http
499953914801029121,2014-ferguson.ids,@Rajaiabukhalil: It is always  the oppressed caring for the oppressed. No matter where in the world.  #Palestine stands with #Ferguson
219495791469920256,2012-euro2012.ids,@Culturizando: #Euro2012 La selección española tiene 92 años sin ganar a la selección italiana en un partido oficial.
216265437615362048,2012-euro2012.ids,Pero q es esto?! Mario Gómez García  uno d Reus... Si gana Alemania es como si ganamos nosotros! #OéOéOéOé #Euro2012
665377574277763072,2015-parisattacks.ids,@ChrisSmalling: Puts everything into perspective when such tragedies happen ☹️ Thoughts and prayers are with all the people in Paris #Pr…
502310609711415296,2014-ferguson.ids,If What Pat Buchanan Just Said #Ferguson Could Be The Downfall Of The Demo Party http (not taken #GOD away?) #WAsen #ORsen
498540574988046337,2014-ferguson.ids,@AntonioFrench: Protestors have packed the lobby of the #Ferguson police headquarters. Not being let into the press confere... http
717757956088020992,2016-panamapapers.ids,@red13charlie: Under the guise of Austerity These are the Tory MPs   One question Have they attacked David Cameron ? #panamapapers http
593091310590001153,2015-nepalearthquake.ids,Earth Quake in Nepal. What can we do? #NepalEarthquake #NepalQuake Please RT #EarthQuake http #pleasehelp
214811266659794944,2012-euro2012.ids,A medida que aumenta el nivel del equipo rival… baja el de #FernandoTorres. Croacia no es ni Irlanda ni Chipre ni Malta. #Euro2012
716908871479070720,2016-panamapapers.ids,@GissiSim: What should shock the most about the #PanamaPapers is this is just one law firm  in one offshore tax haven… just imagine the…
213333426709856256,2012-euro2012.ids,@ESPNSoccernet: Spain: Casillas  Arbeloa  Pique  Sergio Ramos  Jordi Alba  Xavi  Busquets  Alonso  Silva  Torres  Iniesta. #euro2012
554683581390675969,2015-charliehebdo.ids,@ixene_dessin: The day after. #JeSuisCharlie #JeNeSuisPasCharlie #JeSuisLaFrance http
179632599747133441,2012-sxsw.ids,@settar: I found @MarkWilliams's ideas and comments quite inspiring and honest  he knows both marketing and social media well #sxCust ...
593845269319577600,2015-nepalearthquake.ids,Nepal: The Cost Of An Earthquake. Please RT and #Donate if you can. - http http
179238492675653632,2012-sxsw.ids,@Ray_Rahmati  @stevenbrennan  2 of my faves  both @ #SXSW. Meet! Shld be easy in such a small venue  right? ;)
552887165898981378,2015-charliehebdo.ids,@MetinUca: #CharlieHebdo ya yapılan saldırı tüm düşünen insanlara karşı gözdağı. Dergi İslamla değil  arkasına sığınan şarlatanlarla dal…
555003854261981184,2015-charliehebdo.ids,@AFPphoto: Forthcoming edition of #CharlieHebdo will have a print run of 3 million copies instead of the usual 60 000. #AFP http
216993049048383488,2012-euro2012.ids,Mark Lawrensen: keep giving the ball away and eventually they will score.   No shit Sherlock. Worth every penny. #England #Euro2012
665919160287801344,2015-parisattacks.ids,New York And Other U.S. Cities Tighten Security After Paris Attacks - Times Gazette http #USA #nation
166298261194416129,2012-superbowl.ids,@KissesBy_Shy: My Team Not In The #SuperBowl But I'm Coming w/ The #Giants Instead Of Them Nutass #Patriots .
716877985538662401,2016-panamapapers.ids,@mhonividente: Amigos tengo en una cuenta de Panamá 10 dólares No quiero que me investiguen 😆😆 #panamapapers . Todos los mega ricos está…
554368721641553922,2015-charliehebdo.ids,@euronews: #jesuischarlie At least 3.7 million march across France in record mobilisation  official says http
263995533583085569,2012-hurricane-sandy.ids,Hurricane Draws Out Political and Economic Fallacies #Sandy #Politics #Economy http
717518204151603201,2016-panamapapers.ids,Damn  always on the right side of history!  #PanamaPapers #NotMeUs  http via @youtube
214806945561972736,2012-euro2012.ids,@Footycomic: #Euro2012 Group C permutations  mind boggling! http
501711619731488768,2014-ferguson.ids,@AmandaWills: This is Ruth Gordon. She's 72 and has been marching here every night in #Ferguson since Mike Brown was shot. http
166326975433162753,2012-superbowl.ids,Do you have to be an AARP member to perform in the #SuperBowl halftime show? Ok time to LMAO!
523583721023479809,2014-hongkong-protests.ids,@galileo44: 17OCT2014 旺角抗爭警民衝突最關鍵的15分鐘 http Heated conflict in #occupyMongKok in 15mins by @SocRECorg #occupyhk #occup…
